0,Fields group,Management of the resource,,,,,,,,,,,Metadata of the text (description of item),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link(s) to related resources,,,0
0,,,,,,,,,,,,,Text identity,,,,,,Related entities,,,Text typology,,,,Language(s) and script(s),,,,,,,,,,,,Physical form,,,,,,,Date of the text,,,,,Filiation,,,,,,,Rights,,,,,0
0,Fields,Identifier of the resource,Origin of the metadata,DHARMA import,Editor of the metadata,Date of the edition,Contributor of the metadata,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the text,Designation,Alternative identifier,Alternative designation,Alternative designation,Location on the artefact/conglomerate artefact/monument,ID of the artefact(s),ID of the conglomerate artefact,ID of the monument,Text type 1,Text type 2,Text type 3,Text type 4,Language 1,Script classification 1,Script maturity 1,Language 2,Script classification 2,Script maturity 2,Language 3,Script classification 3,Script maturity 3,Language 4,Script classification 4,Script maturity 4,Lettering technique,Lines (observed),Lines (estimated),Lines per zone(s),Dimensions of text zone(s),Height of glyph,Width of glyph,Date CE,Date range CE,Date certainty,Date precision,Date evidence,Other instances,Type of filiation,Reissue date,Bibliographic references (primary),Bibliographic references (secondary),Keyword(s),Remarks,Project responsible for publication,Distribution rights of the text edition,Identifier of the surrogate,Identifier of the digital image,Link to external repository of images,0
10,,INSTelugu00010,ARIE 1921-1922: 79 (appendix C/1922COMMA No. 279),2022-01,jeth,2022-01-25,,,,DHARMA,Telugu,CC0,INSTelugu00010,The work of Kuṟuvadi Ācaṟlu,,,,On the proper left pillar of the same verandah [i. e. of the seventh cave-temple at Bhairavakōna in Bhairabakoṇḍa],ARTTelugu000010,,,utilitarian-label-artwork_label,,,,Telugu,,,,,,,,,,,,,2,2,,,,,,,,,,,,,Ramayya Pantulu 1948: 18 (SII XCOMMA 47),ARIE 1921-1922: 79 (appendix C/1922COMMA No. 279)$Sastri 1969: 283COMMA No. 3$Radha Krishna 1971: 23COMMA No. 30,,ARIE states that the inscription is written in “Archaic Telugu”. The inscription was published without a picture.,DHARMA,CC-BY-SA,,,,10
11,,INSTelugu00011,ARIE 1921-1922: 79 (appendix C/1922COMMA No. 281),2022-01,jeth,2022-01-25,,,,DHARMA,Telugu,CC0,INSTelugu00011,Gift of Lōkama at Bhairavakoṇḍa,,,,On the top of a niche containing a liṅga in front of the Bhairava temple in the same place [i. e. cave temples at Bhairavakōna in Bhairabakoṇḍa],ARTTelugu000011,,,donative,,,,Telugu,,,,,,,,,,,,,3,4,,,,,,,,,,,,,Ramayya Pantulu 1948: 20 (SII X No. 56),ARIE 1921-1922: 79 (appendix C/1922COMMA No. 281)$Sastri 1969: 283-284COMMA No. 5,,ARIE states that the inscription is written in “Archaic Telugu”. The inscription was published without a picture.,DHARMA,CC-BY-SA,,,,11
12,,INSTelugu00012,Nilakanta Sastri & Venkataramayya 1947-1948: 228-229 (EI XXVIICOMMA 42 C),2022-01,jeth,2022-01-25,,,,DHARMA,Telugu,CC0,INSTelugu00012,Pannasa of Erigal Tugurāju during the rule of Cōḻamahārāju,,,,Engraved on a slab near a well in the village of UruṭūruCOMMA Kamalapuram talukCOMMA Cuddapah district,ARTTelugu000012,,,donative-religious_land_grant,,,,Telugu,,,,,,,,,,,,,8,8,,,,,,600-625,low,,palaeography,,,,Nilakanta Sastri & Venkataramayya 1947-1948: 228-229 (EI XXVIICOMMA 42 C),Sastri 1969: 284COMMA No. 6$Radha Krishna 1971: 6COMMA No. 9,,The date is taken from EI.,DHARMA,CC-BY-SA,,,,12
13,,INSTelugu00013,ARIE 1894: 20 (appendix A/1893COMMA No. 471),2022-01,jeth,2022-01-25,,,,DHARMA,Telugu,CC0,INSTelugu00013,Hero stone in context of a brahmahatyā,,,,Buried stone near the same temple [i. e. Bhīmēśvara temple at Bhīmavaram],ARTTelugu000013,,,commemorative-memorial-hero_memorial,,,,Telugu,,,,,,,,,,,,,4,4,,,,,,,,,,,,,Krishna Sastri 1925: 21 (SII VCOMMA 58),ARIE 1894: 20 (appendix A/1893COMMA No. 471)$Sastri 1969: 345COMMA No. 97,,ARIE states that the inscription is written “In very archaic Telugu characters”. ARIECOMMA SII and Sastri treat the inscription as a single text on two faces of the stone. HoweverCOMMA both faces each contain a separate inscription. This inscription is the one on face A. The inscription was published without a picture.,DHARMA,CC-BY-SA,,,,13
14,,INSTelugu00014,ARIE 1894: 20 (appendix A/1893COMMA No. 471),2022-01,jeth,2022-01-25,,,,DHARMA,Telugu,CC0,INSTelugu00014,Bhīmeśvara temple donation of an eternal lamp(?),,,,Buried stone near the same temple [i. e. Bhīmēśvara temple at Bhīmavaram],ARTTelugu000013,,,donative,,,,Telugu,,,,,,,,,,,,,12,12,,,,,,,,,,,,,Krishna Sastri 1925: 21 (SII VCOMMA 58),ARIE 1894: 20 (appendix A/1893COMMA No. 471)$Sastri 1969: 345COMMA No. 97,,ARIE states that the inscription is written “In very archaic Telugu characters”. ARIECOMMA SII and Sastri treat the inscription as a single text on two faces of the stone. HoweverCOMMA both faces each contain a separate inscription. This inscription is the one on face B. The inscription was published without a picture.,DHARMA,CC-BY-SA,,,,14
15,,INSTelugu00015,ARIE 1935: 39 (appendix B/1935-1936COMMA No. 310),2022-01,jeth,2022-01-25,,,,DHARMA,Telugu,CC0,INSTelugu00015,A Pannasa of Erigal Dugarāju during the reign of Cōḻamahārāju,,,,On a slab set up at the entrance of the village Indukūru,ARTTelugu000014,,,donative-religious_land_grant,,,,Telugu,brahmi_and_derivatives-southern_class_brahmi,regional_Brahmi--derived_script,,,,,,,,,,,8,8,,,,,,600-625,,,reign,,,,Nilakanta Sastri & Venkataramayya 1947-1948: 229-230 (EI XXVIICOMMA 42 D),ARIE 1935: 39 (appendix B/1935-1936COMMA No. 310)$Sastri 1969: 284COMMA No. 7$Radha Krishna 1971: 5COMMA No. 7,,ARIE states that the inscription is “Telugu (archaic)”. The date is taken from Rama Rao 1932: 222 (JAHRS 7). Regnal year: Cōḻa-Mahārāja,DHARMA,CC-BY-SA,,,,15
16,,INSTelugu00016,ARIE 1905:14 (appendix A/1904COMMA No. 392),2022-01,jeth,2022-01-25,,,,DHARMA,Telugu,CC0,INSTelugu00016,Donation of 25 maṟuntuḍlu under the rule of Erikalmuturāju,,,,On two faces of a pillar lying in front of the Gōpālakriṣṇa temple at Mālēpāḍu,ARTTelugu000015,,,donative-religious_land_grant,,,,Telugu,,,,,,,,,,,,,19,22,A:7§B:12,,,,,,,,,,,,Ramayya Pantulu 1948: 333 (SII XCOMMA 606),ARIE 1905:14 (appendix A/1904COMMA No. 392)$Sastri 1969: 333-334COMMA No. 69$Radha Krishna 1971: 4COMMA No. 6,,"ARIE states that the inscription is written “In archaic characters"". The inscription is ""Unintelligible"" according to SII. The inscription was published without a picture. Regnal year: Erikal-Muturāju",DHARMA,CC-BY-SA,,,,16
17,,INSTelugu00017,Nilakanta Sastri & Venkataramayya 1947-1948: 230-231 (EI XXVIICOMMA 42 E),2022-01,jeth,2022-01-26,,,,DHARMA,Telugu,CC0,INSTelugu00017,Land grant of Atiśayaraṭṭakūṭṭa during the reign of Erikal-Muturāju,,,,Engraved on three sides of a stone in front of the Chennakēśava temple at Veludurti,ARTTelugu000016,,,donative-religious_land_grant,,,,Telugu,,,,,,,,,,,,,7,9,A:2§B:3§C:2,,,,,625-675,low,,reign,,,,Nilakanta Sastri & Venkataramayya 1947-1948: 230-231 (EI XXVIICOMMA 42 E),Sastri 1969: 285COMMA No. 8$Radha Krishna 1971: 10COMMA No. 13,,The date is taken from Rama Rao 1932: 222 (JAHRS 7). Regnal year: Erikal-Muturāju […] Puṇyakumāra,DHARMA,CC-BY-SA,,,,17
18,,INSTelugu00018,ARIE 1900: 33 (appendix A/1899COMMA No. 147),2022-01,jeth,2022-01-26,,,,DHARMA,Telugu,CC0,INSTelugu00018,Grant of the paḍuvāraṁbu to three villages by Kalimuḍirāju,,,,On a slab standing on the bund of the tank at Vipparla,ARTTelugu000017,,,donative-secular_donation,,,,Telugu,,,Sanskrit,,,,,,,,,,20,20,A:11§B:9,,,,648,,,,reign,,,,Subrahmanya Aiyer 1928: 208-209 (SII VICOMMA 584),ARIE 1900: 33 (appendix A/1899COMMA No. 147)$Sastri 1969: 286-287COMMA No. 10$Radha Krishna 1971: 13COMMA No. 16,,The inscription was published without a picture. Regnal year: JayasiṁghavallabhaCOMMA year 8,DHARMA,CC-BY-SA,,,,18
19,,INSTelugu00019,ARIE 1934: 24 (appendix B/1933-1934COMMA No. 183),2022-01,jeth,2022-01-26,,,,DHARMA,Telugu,CC0,INSTelugu00019,,,,,On a hero-stone set up in a field about ½ furlong to the north of the Musi river near Annavaram-Agrahāram,ARTTelugu000018,,,donative,,,,Telugu,brahmi_and_derivatives-southern_class_brahmi,regional_Brahmi--derived_script,,,,,,,,,,,4,4,,,,,,655-681,,,reign,,,,Butterworth & Venugopaul Chetty 1905: 287 (NI I: 287)$ARIE 1934: 29-30,Sastri 1969: 291COMMA No. 15$Radha Krishna 1971: 14COMMA No. 17,,Regnal year: Vikramāditya,DHARMA,CC-BY-SA,,,,19
20,,INSTelugu00020,Butterworth & Venugopaul Chetty 1905: 1151-1152 (NI III: 1151-1152),2022-01,jeth,2022-01-26,,,,DHARMA,Telugu,CC0,INSTelugu00020,,,,,,ARTTelugu000019,,,donative,,,,Telugu,,,,,,,,,,,,,15,,,,,,,,,,,,,,Butterworth & Venugopaul Chetty 1905: 1151-1152 (NI III: 1151-1152),Radha Krishna 1971: 14COMMA No. 18,,The text is written from the bottom upwards. Regnal year: Viṣṇuvarddhana,DHARMA,CC-BY-SA,,,,20
21,,INSTelugu00021,ARIE 1900: 33 (appendix A/1899COMMA No. 147),2022-01,jeth,2022-01-27,,,,DHARMA,Telugu,CC0,INSTelugu00021,Tank construction at Gommalōviḍi,,,,On a slab standing on the bund of the tank at Vipparla,ARTTelugu000017,,,donative,,,,Telugu,,,Sanskrit,,,,,,,,,,8,8,,,,,,,,,,,,,Subrahmanya Aiyer 1928: 209 (SII VICOMMA 585),ARIE 1900: 33 (appendix A/1899COMMA No. 147)$Sastri 1969: 286-287COMMA No. 10$Radha Krishna 1971: 11-12COMMA No. 14,,The ARIE number 147 of 1899 refers to all the inscriptions on ARTTelugu000017. This slabCOMMA howeverCOMMA has three different inscriptions. The first was edited in SII VICOMMA 584COMMA the other two in SII VICOMMA 585. The ID INSTelugu00021 refers to the first of these latter two inscriptions. The inscription was published without a picture.,DHARMA,CC-BY-SA,,,,21
22,,INSTelugu00022,ARIE 1907: 36 (appendix B/1906COMMA No. 484),2022-01,jeth,2022-01-27,,,,DHARMA,Telugu,CC0,INSTelugu00022,,,,,On a pillar lying near the Māriyamma temple in Cauḍūru,ARTTelugu000020,,,donative,,,,Telugu,,,,,,,,,,,,,17,19,A:8§B:9,,,,,682-706,,,reign,,,,Ramayya Pantulu 1948: 334 (SII XCOMMA 609)$Radha Krishna 1971:16COMMA No. 20,ARIE 1907: 36 (appendix B/1906COMMA No. 484),,The inscription was published without a picture. Regnal year: Maṁgirāja,DHARMA,CC-BY-SA,,,,22
23,,INSTelugu00023,ARIE 1938: 36 (ARIE B/1937-1938COMMA No. 283),2022-01,jeth,2022-01-27,,,,DHARMA,Telugu,CC0,INSTelugu00023,Grant of Cāmaṇakālu under Erikalla Muturāju Puṇyakumārunṟu,,Tippaluru Inscription of Erikal-Muturaju Punyakumara,,,ARTTelugu000021,,,donative-religious_land_grant,,,,Telugu,brahmi_and_derivatives-southern_class_brahmi,regional_Brahmi--derived_script,,,,,,,,,,,11,11,,,,,625-675,,,,reign,,,,Nilakanta Sastri & Venkataramayya 1947-1948: 231-234COMMA (EI XXVIICOMMA 42 F),ARIE 1938: 36 (ARIE B/1937-1938COMMA No. 283)$Sastri 1969: 288-289COMMA No. 12$Radha Krishna 1971: 7COMMA No. 11,,The date according to Rama Rao 1932: 215-228. The nakṣatra puṇaru-puṣyambu and bṛhaspati-hōrā are also mentioned. The word koṇḍa does not seem to belong to the text passage before and therefore may be part of the month. Regnal year: Erikal Muturāju PuṇyakumāraCOMMA month koṇḍa-kārttiyaCOMMA fortnight cīkuCOMMA day bidiyaCOMMA sōmavāraṁbu,DHARMA,CC-BY-SA,,,,23
24,,INSTelugu00024,ARIE 1905: 13 (appendix A/1904COMMA No. 384),2022-01,jeth,2022-01-28,,,,DHARMA,Telugu,CC0,INSTelugu00024,Land grant of Vasantipōṟi Cōḻamahādēvuḷu,,Rameswaram Pillar Inscription of Punyakumara Cholamaharaja: 5th year,,On two faces of another pillar set up in the courtyard of the Rāmaliṅgēśvara temple at Rāmēśvaram near Prodduṭūru,ARTTelugu000022,,,donative-religious_land_grant,,,,Telugu,brahmi_and_derivatives-southern_class_brahmi,regional_Brahmi--derived_script,,,,,,,,,,,22,22,A:13§B:9,,,,629,,,,reign,,,,Nilakanta Sastri & Venkataramayya 1947-1948: 234-236 (EI XXVIICOMMA 42 G)$Ramayya Pantulu 1948: 329-330 (SII XCOMMA 599),ARIE 1905: 13 (appendix A/1904COMMA No. 384)$Sastri 1969: 289COMMA No. 13$Radha Krishna 1971: 8-10COMMA No. 12,,Date according to Rama Rao 1932: 222. Regnal year: Pōrmukharāma Puṇyakumāra Pṛithivīvallabha Chōḻa-MahārājaCOMMA year 5,DHARMA,CC-BY-SA,,,,24
25,,INSTelugu00025,ARIE 1905: 14 (appendix A/1904COMMA No. 393),2022-01,jeth,2022-01-31,,,,DHARMA,Telugu,CC0,INSTelugu00025,,,Malepadu stone inscription of Satyaditya,,On two faces of a pillar lying near a well west of Mālēpāḍu,ARTTelugu000023,,,donative-religious_land_grant,,,,Telugu,brahmi_and_derivatives-southern_class_brahmi,regional_Brahmi--derived_script,,,,,,,,,,,30,30,A:17§B:13,,,,,725-750,,,reign,,,,Krishna Sastri 1911-1912: 337-346 (EI XICOMMA 35) [The Telugu inscription on pp. 345-346],Nārāyaṇarāvu 1937: 1323-1324 (HTL)$Sastri 1969: 290-291COMMA No. 14$Radha Krishna 1971: 33-34COMMA No. 49,,Date according to Rama Rao 1932: 223. The inscription has to be read from the bottom. Regnal year: Śatyāditunṟu (Chōḻa),DHARMA,CC-BY-SA,,,,25
26,,INSTelugu00026,Master 1947-1948COMMA (EI XXVIICOMMA 38),2022-01,jeth,2022-01-31,,,,DHARMA,Telugu,CC0,INSTelugu00026,Nalajanampāḍu grant of Bādirāju,,Nalajanampadu Old-Telugu Inscription,,The inscription is engraved on the two sides of a stone.,ARTTelugu000024,,,donative-religious_land_grant,,,,Telugu,brahmi_and_derivatives-southern_class_brahmi,regional_Brahmi--derived_script,Sanskrit,,,,,,,,,,26,26,A:14§B:12,,,,,660-680,low,,reign,,,,Butterworth & Venugopaul Chetty 1905: 676-677 (NI II: 676-677)$Master 1947-1948COMMA (EI XXVIICOMMA 38),Sastri 1969: 291-292COMMA No. 16$Radha Krishna 1971: 61-63COMMA No. 85,,The reign according to Master 1947-1948: 204. HoweverCOMMA a later date is also possible if Master's identification of the ruler is wrong. Regnal year: Paramśvara-pallavāditya-śrī-bādirāja,DHARMA,CC-BY-SA,,,,26
