0;Fields group;Management of the resource;;;;;;;;;;;;Metadata of the text (description of item);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Link(s) to related resources;;;;;;;;;;;;;
0;;;;;;;;;;;;;;;;;;;;;Text type;;;;Language(s) and script(s);;;;;;;;;;;;Physical form;;;;;;;;;;;Filiation;;;;;;;Rights;;;;;;;;;;;;;;;
0;Fields;Identifier of the resource;Origin of the metadata;Editor of the metadata;Date of the edition;Contributor of the metadata;Date of contribution;Type of contribution;Reviewer;Date of review;Project;Corpus;Distribution rights of the metadata;Identifier of the text;Designation;Alternative identifier;Alternative designation;Alternative designation;Location on the artefact/conglomerate artefact/monument;ID of the artefact/conglomerate artefact/monument;Text type 1;Text type 2;Text type 3;Text type 4;Language 1;Script classification 1;Script maturity 1;Language 2;Script classification 2;Script maturity 2;Language 3;Script classification 3;Script maturity 3;Language 4;Script classification 4;Script maturity 4;Lettering technique;Lines (observed);Lines (estimated);Lines per zone(s);Dimensions of text zone(s);Height of glyph;Width of glyph;Date CE;Date interval CE;Date precision;Date evidence;Duplicate ID;Reissue ID;Reissue date;Bibliographical references (primary);Bibliographical references (secondary);Keyword(s);Remarks;Project responsible for publication;Distribution rights of the text;Identifier of the surrogate;Identifier of the digital image;;;;;;;;;;;;
;;INSCIC00004_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00004_2;;C. 4;;;A;ARTCIC000004;;;;;Old Cham;;;;;;;;;;;;engraved;;21;;;;;;;;;;;;;"JA 1888 (1), 91 ; 1891 (1), 50. — BEFEO III, 634viii; XV (2), 9, 51. — Parmentier1909_01: 801.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00005;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;sapi;2022-06-30;completion;;;DHARMA;CIC;CC0;INSCIC00005;;C. 5;;;;ARTCIC000005;donative;;;;Old Cham;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;;;;;;;;;;engraved;20;20;20;128+x32;2;2;;1226-;low;reign;;;;Finot1903_04: 646-647.;Finot1903_04: 634 (no. IX)$Coedes1908_01: 40 (no. 5)$Parmentier1909_01: 80 (no. 2)$Finot1915_01: 10, 51$Coedes1923_01: 4-5 (no. 5)$Majumdar1927_01: part III, 209$Golzio2004_01: 182.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00006_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;sapi;2022-06-30;completion;;;DHARMA;CIC;CC0;INSCIC00006_1;;C. 6;;;front (1) ;ARTCIC000006;donative;;;;Old Cham;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;;;;;;;;;;engraved;2;2;2;;;;;1244-1245;low;internal date;;;;Finot1903_04: 648.;Finot1903_04: 635 (no. XII)$Coedes1908_01: 40 (no. 6)$Parmentier1909_01: 81 (no. 5)$Finot1915_01: 10, 51$Coedes1923_01: 4-5 (no. 6)$Majumdar1927_01: part III, 213$Golzio2004_01: 180.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00006_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;sapi;2022-06-30;completion;;;DHARMA;CIC;CC0;INSCIC00006_2;;C. 6;;;front (2) ;ARTCIC000006;donative;;;;Old Cham;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;;;;;;;;;;engraved;2;2;2;;;;;1274-1275;low;internal date;;;;Finot1903_04: 648.;Finot1903_04: 635 (no. XII)$Coedes1908_01: 40 (no. 6)$Parmentier1909_01: 81 (no. 5)$Finot1915_01: 10, 51$Coedes1923_01: 4-5 (no. 6)$Majumdar1927_01: part III, 217$Golzio2004_01: 180, 191. ;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00007_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;sapi;2022-06-30;completion;;;DHARMA;CIC;CC0;INSCIC00007_1;;C. 7;;;front (1);ARTCIC000007;donative;;;;Old Cham;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;;;;;;;;;;engraved;4;4;4;24+x30;2;1,5;;;;;;;;;Bergaigne1888_01: 92 (no. 392)$Aymonier1891_01: 52-53 (no. 392)$Finot1903_04: 634 (no. X)$Coedes1908_01: 40 (no. 7)$Parmentier1909_01: 80 (no. 3)$Finot1915_01: 9$Coedes1923_01: 4-5 (no. 7)$Jacques1977-1978_01: 1079-1080$Majumdar1927_01: part III, 209$Golzio2004_01: 183. ;;grosse inscription en caractères han-nom gravée sur une portion importante de l'originale en cam.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00007_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;sapi;2022-06-30;completion;;;DHARMA;CIC;CC0;INSCIC00007_2;;C. 7;;;front (2) ;ARTCIC000007;donative;;;;Old Cham;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;;;;;;;;;;engraved;11;11;11;77x30;1,5;1,5;;1226-;low;reign;;;;;Bergaigne1888_01: 92 (no. 392)$Aymonier1891_01: 52-53 (no. 392)$Finot1903_04: 634 (no. X)$Coedes1908_01: 40 (no. 7)$Parmentier1909_01: 80 (no. 3)$Finot1915_01: 9$Coedes1923_01: 4-5 (no. 7)$Jacques1977-1978_01: 1079-1080$Majumdar1927_01: part III, 209$Golzio2004_01: 183. ;;grosse inscription en caractères han-nom gravée sur l'originale en cam.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00008_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00008_1;;C. 8;;;A, centre du piédroit sud, porte extérieure de la tour principale;ARTCIC000008;;;;;Old Cham;;;;;;;;;;;;engraved;;invocation + 40;;;;;;;;;;;;;"JA 1888 (1), 101 ; 1891 (1), 69. — BEFEO III, 635xv. — Parmentier1909_01: 94.";;"chiffre 41 pour le nombre de ligne était incorrecte chez Cœdès; Golzio nomme cette inscription C. 11";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00008_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00008_3;;C. 8;;;C, intérieur du piédroit sud, porte extérieure de la tour principale;ARTCIC000008;;;;;Old Cham;;;;;;;;;;;;engraved;;41;;;;;;;;;;;;;"JA 1888 (1), 101 ; 1891 (1), 69. — BEFEO III, 635xv. — Parmentier1909_01: 94.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00008_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00008_2;;C. 8;;;B, extérieur du piédroit sud, porte extérieure de la tour principale;ARTCIC000008;;;;;Old Cham;;;;;;;;;;;;engraved;;42;;;;;;;;;;;;;"JA 1888 (1), 101 ; 1891 (1), 69. — BEFEO III, 635xv. — Parmentier1909_01: 94.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00009_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00009_2;;C. 9;;;B, extérieur du piédroit nord, porte extérieure de la tour principale;ARTCIC000009;;;;;Old Cham;;;;;;;;;;;;engraved;;41;;;;;;;;;;;;;"JA 1888 (1), 101 ; 1891 (1), 77. — BEFEO III, 635xv. — Parmentier1909_01: 94.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00009_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00009_1;;C. 9;;;A, centre du piédroit nord, porte extérieure de la tour principale;ARTCIC000009;;;;;Old Cham;;;;;;;;;;;;engraved;;42;;;;;;;;;;;;;"JA 1888 (1), 101 ; 1891 (1), 77. — BEFEO III, 635xv. — Parmentier1909_01: 94.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00009_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00009_3;;C. 9;;;C, intérieur du piédroit nord, porte extérieure de la tour principale;ARTCIC000009;;;;;Old Cham;;;;;;;;;;;;engraved;;43;;;;;;;;;;;;;"JA 1888 (1), 101 ; 1891 (1), 77. — BEFEO III, 635xv. — Parmentier1909_01: 94.";;Cœdès comptait 42 lignes;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00010;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00010;;C. 10;;;Porte intérieure de la tour principale, Piédroit sud;ARTCIC000010;;;;;Old Cham;;;;;;;;;;;;engraved;;39;;;;;;;;;;;;;"JA 1888 (1), 101 ; 1891 (1), 80. — BEFEO III, 635xv. —Parmentier1909_01: 94.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00011;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00011;;C. 11;;;Porte extérieure de la tour principale, Piédroit nord;ARTCIC000011;;;;;Old Cham;;;;;;;;;;;;engraved;;12;;;;;;;;;;;;;"JA 1881 (1), 101 ; 1891 (1), 81. — BEFEO III, 635xv. — Parmentier1909_01: 94.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00012;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00012;;C. 12;;;;ARTCIC000012;;;;;Old Cham;;;;;;;;;;;;engraved;;2;;;;;;;;;;;;;JA 1891 (1), 81. — BEFEO III, 636xvi. — Parmentier1909_01: 94.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00013_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00013_1;;C. 13;;;A2;ARTCIC000013;;;;;Old Cham;;;;;;;;;;;;engraved;;3/4;;;;;;;;;;;;BEFEO III, 642.;"BEFEO III, 634vi; IX, 205 ; XV (2), 39. — Parmentier1909_01: 94.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00013_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00013_2;;C. 13;;;A1;ARTCIC000013;;;;;Sanskrit;;;;;;;;;;;;engraved;;4 1/4;;;;;;;;;;;;BEFEO III, 642.;"BEFEO III, 634vi; IX, 205 ; XV (2), 39. — Parmentier1909_01: 94.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00013_4;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00013_4;;C. 13;;;C;ARTCIC000013;;;;;Old Cham;;;;;;;;;;;;engraved;;6;;;;;;;;;;;;BEFEO III, 642.;"BEFEO III, 634vi; IX, 205 ; XV (2), 39. — Parmentier1909_01: 94.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00013_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00013_3;;C. 13;;;B;ARTCIC000013;;;;;Old Cham;;;;;;;;;;;;engraved;;7;;;;;;;;;;;;BEFEO III, 642.;"BEFEO III, 634vi; IX, 205 ; XV (2), 39. — Parmentier1909_01: 94.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00014;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00014;;C. 14;;;Pō Nagar de Mông-đức / Po Inâ Nagar;ARTCIC000014;;;;;Sanskrit;;;;;;;;;;;;engraved;;invoc. + 17;;;;;;;;;;;;ISCC n° XXIV, 231.;JA 1891 (1), 24. — BEFEO III, 633iv. — Parmentier1909_01: 76.;;L'inscription couvre selon Cœdès 2 faces, mais c'est faux.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00015;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00015;;C. 15;;;;ARTCIC000015;;;;;Old Cham;;;;;;;;;;;;engraved;;5;;;;;;;;;;;;BEFEO III, 601.;JA 1888 (1), 72. — Parmentier1909_01: 71. — BEFEO 95-96, 469.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00016_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00016_1;;C. 16;;;S;ARTCIC000016;;;;;Old Cham;;;;;;;;;;;;engraved;;15;;;;;;;;;;;;BEFEO III, 602.;JA 1888 (1), 72. — Parmentier1909_01: 71.;;vérifier si EFEO est. 13/14 correspondent effectivement à N et S, ou l'inverse.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00016_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00016_2;;C. 16;;;N;ARTCIC000016;;;;;Old Cham;;;;;;;;;;;;engraved;;41;;;;;;;;;;;;BEFEO III, 602.;JA 1888 (1), 72. — Parmentier1909_01: 71.;;vérifier si EFEO est. 13/14 correspondent effectivement à N et S, ou l'inverse.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00017;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00017;Inscription de Batau Tablah ou Đà Nẻ;C. 17;;;;ARTCIC000017;;;;;Old Cham;;;;;;;;;;;;engraved;;17;;;;;;;;;;;;;"JA 1888 (1), 83 ; 1891 (1), 39. — BEFEO III, 635vii; XV (2), 46, 50. — Parmentier1909_01: 73.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00018;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00018;;C. 18;;;;ARTCIC000018;;;;;Old Cham;;;;;;;;;;;;engraved;;4;;;;;;;;;;;;;"JA 1888 (1), 96 ; 1891 (1), 57. — Parmentier1909_01: 73. — Finot1915_01: 51.";;Numéro annulé. Il s'agit du même roc que celui qui porte C. 17, selon Cœdès, mais il semble s'être trompé. Il n'y pas d'autre inscription sur ledit roc, et on trouve une inscription qui doit correspondre à celle lue par Aymonier à Cà Đú (C. 123). Estampage BnF 395 bis (65) ne semble pas exister, mais 395 (65) est bien un estampage de C. 18=123. Trouver source de l'erreur: peut-être BEFEO XV (2), p. 51.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00019;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;sapi;2022-06-28;completion;;;DHARMA;CIC;CC0;INSCIC00019;;C. 19;;;front;ARTCIC000019;donative;;;;Old Cham;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;;;;;;;;;;engraved;;invocation + 9;10;85x60;5;4;;1008-1009;low;internal date;;;;;Bergaigne1888_01: 77 (no. 394)$Aymonier1891_01: 23 (no. 394)$Finot1903_04: 633 (no. III)$Coedes1908_01: 41 (no. 19)$Parmentier1909_01: 72$Finot1915_01: 8$Coedes1923_01: 6-7 (no. 19)$Majumdar1927_01: part III, 65$Golzio2004_01: 52;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00020;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;sapi;2022-06-28;completion;;;DHARMA;CIC;CC0;INSCIC00020;;C. 20;;;front (A), back (B) ;ARTCIC000020;inaugurative - installation_religious_image;;;;Old Cham;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;;;;;;;;;;engraved;;23;A:16§B:7;A:95x47$B:35x40;;;;1278-1279;low;internal date;;;;;Bergaigne1888_01: 97-98$Aymonier1891_01: 59-60$Finot1903_04: 635 (no. XIV)$Coedes1908_01: 41 (no. 20)$Parmentier1909_01: 75$Finot1915_01: 9$Coedes1923_01: 6-7 (no. 20)$Majumdar1927_01: part III, 218$Golzio2004_01: 193;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00020_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00020_2;;C. 20;;;B;ARTCIC000020;;;;;Old Cham;;;;;;;;;;;;engraved;;7;7;;;;;;;;;;;;"JA 1888 (1), 97 ; 1891 (1), 59. — BEFEO III, 635xiv; XV (2), 9. — Parmentier1909_01: 75.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
