0,Fields group,Management of the resource,,,,,,,,,,,Metadata of the text (description of item),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link(s) to related resources,,,0
0,,,,,,,,,,,,,Text identity,,,,,,Related entities,,,Text typology,,,,Language(s) and script(s),,,,,,,,,,,,Physical form,,,,,,,Date of the text,,,,,Filiation,,,,,,,Rights,,,,,0
0,Fields,Identifier of the resource,Origin of the metadata,DHARMA import,Editor of the metadata,Date of the edition,Contributor of the metadata,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the text,Designation,Alternative identifier,Alternative designation,Alternative designation,Location on the artefact/conglomerate artefact/monument,ID of the artefact(s),ID of the conglomerate artefact,ID of the monument,Text type 1,Text type 2,Text type 3,Text type 4,Language 1,Script classification 1,Script maturity 1,Language 2,Script classification 2,Script maturity 2,Language 3,Script classification 3,Script maturity 3,Language 4,Script classification 4,Script maturity 4,Lettering technique,Lines (observed),Lines (estimated),Lines per zone(s),Dimensions of text zone(s),Height of glyph,Width of glyph,Date CE,Date range CE,Date certainty,Date precision,Date evidence,Other instances,Type of filiation,Reissue date,Bibliographic references (primary),Bibliographic references (secondary),Keyword(s),Remarks,Project responsible for publication,Distribution rights of the text edition,Identifier of the surrogate,Identifier of the digital image,Link to external repository of images,0
,,INSPallava00010,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00011,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00012,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00013,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00014,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00015,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00016,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00017,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00018,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00019,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00020,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00021,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00022,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00023,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00024,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00025,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00026,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00027,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00028,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00029,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00030,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00031,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00032,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00033,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00034,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00035,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00036,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00037,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00038,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00039,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00040,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00041,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00042,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00043,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00044,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00045,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00046,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00047,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00048,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00049,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00050,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00051,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00052,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00053,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00054,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00055,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00056,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00057,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00058,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00059,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00060,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00061,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00062,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00063,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00064,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00065,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00066,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00067,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00068,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00069,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00070,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00071,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00072,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00073,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00074,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00075,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00076,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00077,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00078,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00079,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00080,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00081,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00082,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00083,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00084,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00085,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00086,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00087,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00088,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00089,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00090,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00091,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00092,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00093,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00094,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00095,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00096,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00097,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00098,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00099,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00100,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00101,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00102,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00103,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00104,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00105,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00106,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
,,INSPallava00107,,,emfr,,,,,DHARMA,Pallava,CC0,INSPallava00107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHARMA,CC-BY 4.0,,,,
